miRNA	transcript	r	p.value	number_of_cell_line	m_min	m_median	m_max	m_mean	t_min	t_median	t_max	t_mean
hsa-mir-196a-2	HOXC6	0.284	0.0843	38	0.301007	103.8824	576.4575	132.49200757732	0	0	2.418101	0.0422664020618557
hsa-mir-196b	AC004080.3	0.247	0.000129	236	72.35244	1471.222	23331.65	2626.72185089347	0	0.300925	4.328613	0.475910041237113
hsa-mir-196b	HOXA9	0.372	1.83e-10	275	72.35244	1471.222	23331.65	2626.72185089347	0	3.957397	41.902862	5.75302675601375
hsa-mir-197	GNAI3	0.0469	0.445	267	30.13665	227.7149	14143.07	493.675762749141	3.141043	12.496454	26.866285	12.6306476219931
hsa-mir-1973	MTRNR2L13	NA	NA	NA	0	0	0.141694	0.000486920962199313	0	0	0.047082	0.000234106529209622
hsa-mir-1976	RPS6KA1	0.369	5.48e-10	265	0.914137	7.937609	268.5904	14.1280307628866	3.448969	44.368413	129.02343	46.7603450412371
hsa-mir-198	FSTL1	-0.298	0.322	13	0	0	0.497162	0.00916416838487973	2.145188	30.395602	1362.749145	43.8494968694158
hsa-mir-199a-2	DNM3OS	0.354	7.35e-10	285	175.5698	1184.378	19201.37	1531.99759415808	0.041362	1.050461	23.070906	1.58446884879725
hsa-mir-19a	MIR17HG	0.428	2.31e-13	268	0	30.1178	403.381	44.7727915876289	0	0.434111	22.88911	0.699441048109966
hsa-mir-19b-1	MIR17HG	0.433	1.23e-13	267	0	89.81573	956.5267	122.211905261168	0	0.434111	22.88911	0.699441048109966
hsa-mir-19b-2	AC002407.1	-0.0122	0.954	25	0	79.67599	871.2592	108.155941408935	0	0	0.100323	0.00109115120274914
hsa-mir-200c	MIR200CHG	0.203	0.000835	269	8.425222	13195.12	59831.1	15107.4840258144	0	11.655353	81.493015	13.9912035979381
hsa-mir-202	MIR202HG	0.149	0.458	27	0	0	360.1168	1.49244158762887	0	0	1.21065	0.0143974536082474
hsa-mir-204	TRPM3	0.675	4.52e-29	208	0	1.463075	465.6883	9.0027393024055	0	0.008563	3.468002	0.0687282371134021
hsa-mir-205	MIR205HG	0.288	0.11	32	0	0.120735	544.9097	7.44578623024055	0	0	15.819036	0.154505432989691
hsa-mir-2052	MIR2052HG	NA	NA	NA	0	0	0.095126	0.000326893470790378	0	0	1.63182	0.0943408178694158
hsa-mir-208a	MYH6	NA	NA	NA	0	0	0	0	0	0	0.09178	0.0033320618556701
hsa-mir-208b	MYH7	-0.0661	0.934	4	0	0	0.476974	0.00604229209621993	0	0.011705	0.265456	0.0203396494845361
hsa-mir-20a	MIR17HG	0.487	1.39e-17	271	8.069239	495.7991	4712.67	629.689493639175	0	0.434111	22.88911	0.699441048109966
hsa-mir-20b	AC002407.1	0.00354	0.987	24	0	2.859565	271.991	7.7669840790378	0	0	0.100323	0.00109115120274914
hsa-mir-21	VMP1	0.327	3.29e-08	272	1331.424	208325.4	420237	209270.924975945	12.623025	42.608791	408.097602	50.0559730274914
hsa-mir-210	MIR210HG	0.445	6.35e-15	278	3.932207	380.7157	5896.34	700.311377797251	0.221306	6.412941	45.386785	8.76354385223368
hsa-mir-211	TRPM1	0.528	0.0948	11	0	0	3.704368	0.0377942268041237	0	0	0.091597	0.00538484879725086
hsa-mir-2110	CCDC186	0.208	0.000661	265	0	2.126759	49.87634	3.06155639175258	0.559322	6.458912	34.903533	7.35110518213058
hsa-mir-2113	AL589740.1	NA	NA	NA	0	0	0.412994	0.00248499656357388	0	0	0.779472	0.00579782474226804
hsa-mir-2115	SPINK8	NA	NA	NA	0	0.203263	5.040147	0.370496666666667	0	0	0.149722	0.00204367010309278
hsa-mir-2116	MYO1E	0.0763	0.228	251	0	0.621918	13.33572	0.91957430927835	2.313495	12.687192	55.500444	13.6023394707904
hsa-mir-2117	MIR2117HG	NA	NA	NA	0	0	0.470356	0.00237178350515464	0	0	0.163405	0.0160750309278351
hsa-mir-214	DNM3OS	0.341	3.69e-09	284	2.117262	20.70211	183.2182	26.7926013195876	0.038083	0.540899	20.899452	0.811712848797251
hsa-mir-216a	MIR217HG	0.127	0.606	19	0	0.99533	25.2669	1.44758485223368	0	0	1.032109	0.00816743642611684
hsa-mir-216b	MIR217HG	-0.0144	0.971	9	0	0	25.43534	0.181179288659794	0	0	1.032109	0.00816743642611684
hsa-mir-217	MIR217HG	0.358	0.121	20	0	30.17795	645.6535	45.4804530790378	0	0	1.032109	0.00816743642611684
hsa-mir-218-1	SLIT2	0.647	1.53e-34	280	0	8.148944	337.8804	11.0363933986254	0	0.612808	46.082794	1.4095099347079
hsa-mir-218-2	SLIT3	0.4	4.35e-12	278	0	7.638121	322.4826	10.5197326769759	0.064849	1.680321	46.549815	3.33612328865979
hsa-mir-219a-2	AL359091.1	-0.123	0.575	23	0	0	3.596637	0.126007405498282	0	0	0.10272	0.00494344673539519
hsa-mir-22	MIR22HG	0.312	1.05e-07	278	12545.25	46880.99	198238.2	50341.1766666667	0.730717	6.075116	50.658422	7.71359558075601
hsa-mir-221	MIR222HG	0.466	1.11e-16	283	58.09432	215.8038	916.0805	249.568481443299	0.108529	2.016078	13.336856	2.62053187628866
hsa-mir-222	MIR222HG	0.349	1.76e-09	281	11.88828	69.23989	376.0784	80.5100367697595	0.108529	2.016078	13.336856	2.62053187628866
hsa-mir-223	MIR223HG	0.405	1.3e-12	284	10.86067	257.9848	4081.208	388.466797147766	0	0.284004	11.735074	0.649217268041237
hsa-mir-224	GABRE	0.631	9.29e-33	282	1.263092	62.89015	416.453	86.5080211305842	0	3.105807	28.404155	4.41405025085911
hsa-mir-2276	AL359736.1	0.0656	0.53	94	0	0	2.920642	0.234833563573883	0	0.040568	0.750837	0.061284116838488
hsa-mir-2276	SPATA13	-0.0314	0.714	138	0	0	2.920642	0.234833563573883	0	9.438786	50.369447	10.829098532646
hsa-mir-2277	FAM172A	-0.0697	0.27	252	0	0.570581	5.789833	0.903305219931271	0.73729	4.134014	14.818066	4.2731858556701
hsa-mir-2278	AOPEP	-0.155	0.21	67	0	0	1.466951	0.0809604364261168	0.643678	2.284451	10.869285	2.5075931443299
hsa-mir-2355	KLF7	0.287	1.54e-06	271	0	29.26985	165.588	33.1214513333333	0.259081	4.074568	20.6503	4.35378976632302
hsa-mir-2392	MEG3	NA	NA	NA	0	0	0	0	0	0	0.099294	0.000710931271477663
hsa-mir-23a	AC020916.1	0.252	1.86e-05	281	1172.959	2747.052	9928.428	2971.27621305842	0.163554	1.521614	16.13725	2.04608080756014
hsa-mir-23b	AOPEP	0.284	2.19e-06	270	244.0871	778.2053	3424.142	915.24189209622	0.904103	17.942244	146.858304	20.4244848213058
hsa-mir-23c	MAP7D2	-0.117	0.164	144	0	0.114572	26.17402	0.915863776632302	0	0.644006	29.065916	3.68215458419244
hsa-mir-24-1	AOPEP	-0.0165	0.786	272	167.5517	967.831	2679.752	1012.60492061856	0.904103	17.942244	146.858304	20.4244848213058
hsa-mir-24-2	AC020916.1	0.0722	0.231	277	177.7748	983.195	2717.105	1018.55087766323	0.163554	1.521614	16.13725	2.04608080756014
hsa-mir-2467	HDAC4	-0.0262	0.908	22	0	0	0.553731	0.0198209243986254	0.330886	3.29833	13.825135	3.42964737113402
hsa-mir-25	MCM7	0.47	1.42e-16	276	2167.831	8633.665	32964.17	9410.66481443299	7.196918	112.79431	283.709424	116.915705621993
hsa-mir-2681	FGF14	0.209	0.515	12	0	0	3.01895	0.0223628178694158	0	0.02877	0.630639	0.0635907079037801
hsa-mir-2682	MIR137HG	-0.53	0.644	3	0	0	0.819564	0.00754929896907216	0	0	0.731782	0.00848513402061856
hsa-mir-26a-1	CTDSPL	0.0466	0.443	273	150.9475	846.5061	14964.06	928.536567697594	0.847012	16.962096	46.964351	17.9630331683849
hsa-mir-26a-2	CTDSP2	0.00585	0.923	276	143.4001	842.2402	15096.69	935.401449828179	8.767995	60.956823	564.501945	66.5552502646048
hsa-mir-26b	CTDSP1	-0.107	0.0788	270	99.62535	534.5154	2534.229	618.005377147766	8.895751	75.885972	298.397026	75.1018156082474
hsa-mir-27a	AC020916.1	0.258	1.23e-05	279	281.8419	1380.618	4688.037	1547.07884364261	0.163554	1.521614	16.13725	2.04608080756014
hsa-mir-27b	AOPEP	0.0991	0.101	275	303.7582	1086.74	3789.329	1230.76257457045	0.904103	17.942244	146.858304	20.4244848213058
hsa-mir-28	LPP	0.313	2.44e-07	261	2423.601	5067.345	23948	5638.06155326461	1.604217	7.321263	102.291089	9.27283321993127
hsa-mir-2861	CDK9	NA	NA	NA	0	0	0	0	0	0	0.238128	0.011152824742268
hsa-mir-2861	MIR3960	NA	NA	NA	0	0	0	0	0	0	1.729389	0.0059429175257732
hsa-mir-2909	AATF	NA	NA	NA	0	0	0	0	6.331337	47.89202	425.871332	49.4635533642612
hsa-mir-296	AL132655.2	0.54	7.11e-14	165	0	1.90619	64.54585	5.33065035051546	0	0.057515	2.024334	0.172160192439863
hsa-mir-299	MEG8	-0.035	0.978	3	0	3.901854	102.5553	4.62656140549828	0	0	0.032764	0.00018726116838488
hsa-mir-29a	AC016831.1	0.282	2.35e-06	271	1607.91	8339.265	35179.58	9657.77062199313	0.014217	0.207784	21.061654	0.521386161512028
hsa-mir-29a	AC016831.6	0.2	0.000978	268	1607.91	8339.265	35179.58	9657.77062199313	0	0.11901	3.219501	0.201249694158076
hsa-mir-29b-1	AC016831.1	0.38	1.17e-10	268	6.0379	281.7306	2167.284	380.491104054983	0.014217	0.207784	21.061654	0.521386161512028
hsa-mir-29b-1	AC016831.6	0.178	0.00368	266	6.0379	281.7306	2167.284	380.491104054983	0	0.11901	3.219501	0.201249694158076
hsa-mir-29b-2	MIR29B2CHG	0.0393	0.513	280	40.38296	283.314	2298.931	387.608767113402	0.0067	0.129709	8.189081	0.308786003436426
hsa-mir-29c	MIR29B2CHG	0.126	0.0363	276	105.1431	889.6305	8080.341	1141.9971443299	0.0067	0.129709	8.189081	0.308786003436426
hsa-mir-301a	SKA2	0.0822	0.174	275	0	6.36308	77.05085	8.73412395532646	5.944804	29.135337	80.697826	30.47974095189
hsa-mir-301b	AP000553.1	0.101	0.124	234	0	1.472104	17.04009	2.05210619243986	0	0.103114	1.097265	0.141621872852234
hsa-mir-302a	MIR302CHG	-0.488	0.676	3	0	0	0.476799	0.00397356357388316	0	0.073191	0.759689	0.110608821305842
hsa-mir-302b	MIR302CHG	-0.491	0.509	4	0	0	0.428254	0.00606279037800687	0	0.073191	0.759689	0.110608821305842
hsa-mir-302c	MIR302CHG	NA	NA	NA	0	0	0.285503	0.00163089690721649	0	0.073191	0.759689	0.110608821305842
hsa-mir-302d	MIR302CHG	NA	NA	NA	0	0	0.260359	0.00138525773195876	0	0.073191	0.759689	0.110608821305842
hsa-mir-302f	AC115100.1	NA	NA	NA	0	0	0	0	0	0	0.303265	0.00108041237113402
hsa-mir-3064	DDX5	-0.043	0.604	148	0	0.120735	1.467608	0.212640374570447	45.437568	210.015046	416.963826	210.513657742268
hsa-mir-30a	AL136164.2	0.132	0.832	5	1010.293	4906.371	26039.45	5293.34604467354	0	0	0.124635	0.00178980068728522
hsa-mir-30a	LINC00472	0.526	1.08e-19	257	1010.293	4906.371	26039.45	5293.34604467354	0	0.028099	3.043448	0.0752430859106529
hsa-mir-30c-1	NFYC	-0.0737	0.226	272	38.60337	140.4374	696.4592	162.369287319588	4.080302	28.430518	72.137581	28.1013592474227
hsa-mir-30c-2	AL136164.2	0.721	0.169	5	46.65258	146.0864	682.3998	173.006837491409	0	0	0.124635	0.00178980068728522
hsa-mir-30c-2	LINC00472	0.0149	0.809	263	46.65258	146.0864	682.3998	173.006837491409	0	0.025603	1.611553	0.0551790446735395
hsa-mir-30e	NFYC	0.155	0.0117	263	2241.312	7415.84	33574.28	7678.98174226804	4.080302	28.430518	72.137581	28.1013592474227
hsa-mir-31	MIR31HG	0.76	1.94e-49	256	0	4.353423	293.8628	17.8295036460481	0	0.091797	12.151984	0.428519446735395
hsa-mir-3115	KDM1A	0.0446	0.7	77	0	0	1.481747	0.0869305910652921	5.000569	39.3221	99.607624	39.8748041408935
hsa-mir-3116-1	PATJ	-0.0855	0.568	47	0	0	1.240312	0.0517247697594502	0.405309	11.037169	52.014483	11.5101783367698
hsa-mir-3117	SGIP1	0.0545	0.424	217	0	0.435021	3.267896	0.611891096219931	0.00227	0.578276	10.905186	0.861634457044674
hsa-mir-3119-2	METTL11B	-0.276	0.822	3	0	0	0.232061	0.00211484879725086	0	0.024674	0.815767	0.056653704467354
hsa-mir-3120	DNM3	0.041	0.917	9	0	0	2.561771	0.018727058419244	0.014145	0.336128	6.034246	0.560899116838488
hsa-mir-3121	ACBD6	0.12	0.659	16	0	0	0.678124	0.0155617285223368	4.632681	29.892806	70.025291	30.2496963161512
hsa-mir-3122	DTL	NA	NA	NA	0	0	0.665079	0.00228549484536082	1.07809	6.36816	23.461464	7.25545638487973
hsa-mir-3125	TRIB2	0.134	0.437	36	0	0	1.280885	0.0383377560137457	0.62962	5.866695	105.739226	8.58401108934708
hsa-mir-3126	ANTXR1	-0.326	0.00294	81	0	0	2.340336	0.106075666666667	0.586101	17.357257	324.100294	29.3132052233677
hsa-mir-3127	CNNM4	0.398	1.37e-11	268	0	7.384981	96.86211	10.0021451512027	1.072199	17.343515	81.34787	20.3455069965636
hsa-mir-3128	NFE2L2	-0.168	0.349	33	0	0	0.692769	0.0276374501718213	9.767417	56.06547	111.923141	57.5531832542955
hsa-mir-3129	COL5A2	-0.118	0.117	179	0	0.228571	3.510505	0.345245965635739	1.227327	23.904888	472.641767	40.213969443299
hsa-mir-3130-2	FASTKD2	-0.019	0.759	265	0	2.997923	27.66596	3.90865783848797	1.891302	17.066282	47.210422	17.6925994845361
hsa-mir-3131	IHH	0.359	8.68e-09	243	0	1.688128	29.33902	3.15218274570447	0	32.15563	139.233667	35.5009406975945
hsa-mir-3133	FARP2	-0.0331	0.777	76	0	0	1.481747	0.0859872577319588	0	5.782811	14.137466	6.03944583161512
hsa-mir-3134	ANKRD28	NA	NA	NA	0	0	0	0	2.289655	8.614772	27.308011	8.97016545704467
hsa-mir-3135a	KAT2B	0.29	0.315	14	0	0	0.684748	0.0119251512027491	0.288418	2.908343	20.270295	3.50630679725086
hsa-mir-3136	TMF1	-0.0492	0.47	218	0	0.365936	5.123541	0.556809618556701	2.300068	10.707464	30.452773	11.5266256116838
hsa-mir-3137	XXYLT1	0.423	0.0126	34	0	0	1.871473	0.039645824742268	1.191796	6.804988	22.731461	7.17382761512027
hsa-mir-3138	WDR1	-0.0694	0.482	105	0	0	5.763742	0.201914965635739	26.619523	168.558173	335.471289	165.762466900344
hsa-mir-3139	GAB1	-0.125	0.57	23	0	0	0.570065	0.0207411134020619	0.393909	3.316074	22.031829	3.58930086941581
hsa-mir-3140	FBXW7	0.0136	0.878	130	0	0	2.222621	0.174168611683849	0.347486	1.979131	17.291045	2.14210339862543
hsa-mir-3142	MIR3142HG	-0.162	0.794	5	0	0	0.850083	0.00523317182130584	0.033259	0.933158	25.747657	1.75568286254296
hsa-mir-3145	NHSL1	-0.00233	0.983	88	0	0	2.660317	0.124306329896907	0.091942	7.570762	33.258885	8.57897251890034
hsa-mir-3146	POLR1F	-0.269	0.137	32	0	0	0.932279	0.0343635463917526	1.878213	9.675739	26.123341	10.1320417697595
hsa-mir-3147	AC237221.1	NA	NA	NA	0	0	0	0	0	0.013069	6.379582	0.126359711340206
hsa-mir-3150a	NDUFAF6	0.186	0.067	98	0	0	3.905378	0.16575752233677	0	0.208753	3.936893	0.250903804123711
hsa-mir-3150b	AC068189.1	0.354	0.00088	85	0	1.785133	441.0474	6.68850838487973	0	0	0.726231	0.0320386597938144
hsa-mir-3150b	MIR3150BHG	0.433	1.71e-12	242	0	1.785133	441.0474	6.68850838487973	0	0.05322	6.616559	0.152601718213058
hsa-mir-3151	BAALC	NA	NA	NA	0	0	0.290525	0.00189307216494845	0	0.135742	4.601735	0.288466158075601
hsa-mir-3152	ADAMTSL1	0.0739	0.552	67	0	0	1.1621	0.0815868281786942	0	0.346375	5.404931	0.578608549828179
hsa-mir-3153	CKS2	0.151	0.746	7	0	0	0.546587	0.00887444673539519	11.624642	137.561484	420.669078	148.85178547079
hsa-mir-3155a	PFKFB3	-0.0753	0.384	136	0	0	3.458245	0.197909027491409	2.199269	13.80607	58.788541	14.4480148350515
hsa-mir-3156-1	AL358394.2	NA	NA	NA	0	0	0.310582	0.00203794845360825	0	0.005733	0.482802	0.0248045395189003
hsa-mir-3156-2	ANKRD30B	NA	NA	NA	0	0	0.228571	0.00188803092783505	0	0	1.098532	0.0500045051546392
hsa-mir-3157	ENTPD1-AS1	-0.0895	0.206	201	0	0.285033	9.221987	0.445151233676976	0.045041	0.518059	7.895501	0.664488663230241
hsa-mir-3158-1	DPCD	0.028	0.71	178	0	0.217436	3.458245	0.341657395189003	2.14207	27.748272	75.642373	29.2594741649485
hsa-mir-3160-1	AMBRA1	-0.353	0.126	20	0	0	0.546587	0.016594529209622	2.271775	10.146064	19.98103	10.120929742268
hsa-mir-3161	PTPRJ	0.129	0.223	91	0	0	4.686237	0.352315883161512	1.257563	8.722997	25.035942	9.1392454604811
hsa-mir-3162	OSBP	0.106	0.665	19	0	0	2.081371	0.0332770274914089	5.853699	25.393228	49.711454	26.0215522474227
hsa-mir-3163	PC	0.133	0.68	12	0	0	0.810646	0.0126963848797251	0	4.428929	25.885061	4.91415412371134
hsa-mir-3164	AP003071.5	0.0967	0.611	30	0	0	1.481747	0.0451281615120275	0	0.194897	4.733032	0.288333295532646
hsa-mir-3164	TPCN2	0.0803	0.673	30	0	0	1.481747	0.0451281615120275	0.667519	3.269768	8.064855	3.41998836426117
hsa-mir-3165	NUMA1	-0.564	0.0895	10	0	0	0.855098	0.0112176151202749	2.38773	19.44826	60.609869	20.5829797010309
hsa-mir-3167	KIRREL3	0.564	0.619	3	0	0	0.132604	0.000953525773195876	0	0.06126	1.407335	0.134593199312715
hsa-mir-3170	FARP1	0.319	9.13e-08	268	0	1.456899	10.67005	1.84161586254296	1.060267	21.468226	80.816184	23.969610443299
hsa-mir-3173	DICER1	-0.0585	0.389	219	0	0.417769	19.75571	0.906507199312715	0.199975	2.823108	20.559331	3.34657678006873
hsa-mir-3174	ZNF710	-0.0569	0.493	147	0	0.114572	2.222621	0.200951780068729	0.993773	9.181017	20.712233	9.53589343986254
hsa-mir-3175	AC013394.1	0.0118	0.952	29	0	0	2.305497	0.0396887903780069	0.035176	0.34375	27.362887	0.714089109965636
hsa-mir-3175	CHD2	0.0578	0.757	31	0	0	2.305497	0.0396887903780069	1.099838	6.299906	39.279019	7.17163228865979
hsa-mir-3176	CAPN15	-0.0771	0.325	165	0	0.177631	3.79567	0.340535340206186	0.01799	18.002486	41.747105	18.8980628178694
hsa-mir-3177	MAPK8IP3	-0.0999	0.32	101	0	0	2.920642	0.149851085910653	0.916771	9.730759	34.273092	11.0352677628866
hsa-mir-3179-1	AC136443.3	NA	NA	NA	0	0	0	0	0	0	1.597052	0.109554223367698
hsa-mir-3179-2	NOMO3	NA	NA	NA	0	0	0	0	0	0.389306	2.72832	0.445242670103093
hsa-mir-3179-4	NOMO2	NA	NA	NA	0	0	0	0	0	0.432738	17.68747	0.695049364261168
hsa-mir-3181	CYLD	-0.094	0.729	16	0	0	0.846905	0.0149808281786942	1.526717	6.725643	27.935522	7.4792359347079
hsa-mir-3182	CDH13	-0.0865	0.621	35	0	0	1.467608	0.0435105395189003	0.130922	3.060906	40.976024	4.17710218900344
hsa-mir-3183	ABR	0.0185	0.865	87	0	0	4.528425	0.133384171821306	2.013355	33.547493	111.339647	36.6278441512028
hsa-mir-3184	AC104984.2	NA	NA	NA	0	0	0.270797	0.00214959793814433	0	0	0.230742	0.00575783505154639
hsa-mir-3184	hsa-mir-423	NA	NA	NA	0	0	0.270797	0.00214959793814433	0	0	0	0
hsa-mir-3189	GDF15	0.23	0.000748	212	0	0.355261	5.948642	0.63280747766323	2.092553	133.228366	1322.948085	179.956271845361
hsa-mir-3191	BBC3	-0.0616	0.456	149	0	0.122064	5.870431	0.254892670103093	1.034705	15.91022	60.122089	17.2328115498282
hsa-mir-3192	POLR3F	0.0808	0.585	48	0	0	0.999663	0.0520456632302405	1.710471	6.380092	23.839755	7.19268607560137
hsa-mir-3194	NFATC2	0.186	0.0151	171	0	0.216943	12.59485	0.45683212371134	0.143541	2.670226	17.38722	3.1688715257732
hsa-mir-3196	BIRC7	-0.109	0.558	31	0	0	1.733795	0.0404833711340206	0	0.294856	15.348449	0.747806171821306
hsa-mir-3198-1	BID	-0.356	0.0261	39	0	0	1.491485	0.0462748797250859	4.990183	50.791949	161.705618	52.5035950137457
hsa-mir-3198-2	CBX5	0.19	0.0894	81	0	0	2.396618	0.128048206185567	1.872982	10.125228	53.729867	11.2106460721649
hsa-mir-3199-2	TTC28-AS1	-0.0928	0.159	232	0	0.39082	4.610994	0.535657498281787	0.593337	7.882853	37.335166	8.21977478350516
hsa-mir-32	TMEM245	-0.221	0.00021	277	0	26.82224	196.8311	31.9259213024055	2.887339	10.548439	48.618152	11.2767864810997
hsa-mir-3200	OSBP2	0.18	0.00271	275	0	3.234023	47.2095	4.80521657731959	0	1.691406	6.616628	1.85421324742268
hsa-mir-3202-1	TMEM187	-0.202	0.437	17	0	0	1.039774	0.0200663780068729	0.670806	9.252807	37.205519	10.056787862543
hsa-mir-320b-2	NVL	-0.181	0.00242	279	0	3.131277	30.70661	4.08261369072165	0.029521	8.293121	19.102223	8.58090262542955
hsa-mir-320e	PRKD2	-0.212	0.124	54	0	0	1.170168	0.0557908865979381	1.625762	17.358455	56.737506	17.7197092680412
hsa-mir-323a	MEG8	-0.995	0.0622	3	0	2.458144	151.5087	4.07471516838488	0	0	0.032764	0.00018726116838488
hsa-mir-325	MIR325HG	NA	NA	NA	0	0	0	0	0	0.015869	0.805357	0.0402865154639175
hsa-mir-326	ARRB1	0.185	0.00212	274	0	4.185522	156.9638	6.20180121305842	2.06275	14.976112	53.067079	16.3968832233677
hsa-mir-329-1	MEG8	-0.958	0.185	3	0	0.267655	21.06305	0.442971164948454	0	0	0.032764	0.00018726116838488
hsa-mir-329-2	MEG8	-0.976	0.138	3	0	0.325154	20.33674	0.505235089347079	0	0	0.032764	0.00018726116838488
hsa-mir-330	EML2	0.00963	0.875	270	3.050511	27.51582	216.078	34.247663233677	2.408873	31.695811	78.347983	31.7712793264605
hsa-mir-335	MEST	0.532	2.07e-21	274	2.222621	178.931	731.8322	217.720712120275	0.46859	41.245473	291.082234	43.8342504879725
hsa-mir-337	AL117190.1	0.277	0.113	34	0	19.04333	672.5651	25.9878427491409	0	0	0.202165	0.00532416494845361
hsa-mir-338	AATK	0.596	3.71e-29	289	37.12494	296.8081	4343.724	523.026065085911	0.025404	1.037001	17.535349	1.81243343642612
hsa-mir-339	C7orf50	0.299	4.64e-07	274	5.94187	34.81329	312.9785	52.1249639621993	1.425556	65.409846	198.077956	69.0950940962199
hsa-mir-33a	SREBF2	0.159	0.00844	274	0.784506	33.26423	267.4554	47.8402190824742	5.218507	52.378504	136.893476	54.5665069037801
hsa-mir-33b	SREBF1	0.377	1.81e-10	268	0	3.055854	38.42656	4.76372154982818	1.384115	30.344935	144.556965	33.6845436838488
hsa-mir-340	RNF130	0.078	0.204	267	0	19.09144	85.94148	20.514314467354	4.712858	36.780783	97.16843	38.021454532646
hsa-mir-342	EVL	0.413	4.02e-13	284	8.74532	56.12316	932.7598	87.5871099656357	1.045882	7.337791	76.484349	10.9141149243986
hsa-mir-346	GRID1	-0.209	0.0669	78	0	0	5.203428	0.179276079037801	0.00308	0.263139	14.017752	0.432496683848797
hsa-mir-34a	MIR34AHG	0.525	9.29e-22	288	10.22225	100.7827	450.1529	125.935269312715	0.115867	1.129611	7.18651	1.46288024054983
hsa-mir-34b	AP002008.4	0.531	0.0417	15	0	0.454963	4.678682	0.619952336769759	0	0	0.121666	0.00209082130584192
hsa-mir-34c	AP002008.4	-0.0593	0.847	13	0	2.918093	19.38026	3.54661457731959	0	0	0.121666	0.00209082130584192
hsa-mir-3605	PHC2	0.0286	0.647	259	0	1.225205	36.88795	2.24830702061856	7.167682	62.912899	192.346504	63.9846093642612
hsa-mir-3606	COL3A1	-0.467	0.35	6	0	0	0.736909	0.00832450171821306	8.751625	279.047073	8224.580858	492.069043103093
hsa-mir-3607	COX7C	0.177	0.00326	275	0.482773	28.31873	1515.818	68.3968910618557	25.358655	862.3769	1971.814925	845.436696852234
hsa-mir-3609	TRRAP	-0.101	0.17	188	0	0.220995	7.44187	0.45306547766323	0.464075	7.922091	31.285492	8.34407221649485
hsa-mir-361	CHM	0.355	1.81e-09	271	79.79082	332.8733	1641.804	386.680376357388	0.766298	5.375425	19.287328	5.96111850515464
hsa-mir-3610	RAD21	0.157	0.01	267	0	1.055439	8.372213	1.27349094158076	12.618849	78.507787	244.867805	84.6588022027491
hsa-mir-3611	CUL2	0.0448	0.755	51	0	0	1.264298	0.051362470790378	0	8.075725	13.519852	8.14236700343643
hsa-mir-3612	TMEM132C	0.473	0.527	4	0	0	1.240312	0.00711771134020619	0	0.034181	36.783595	0.610808147766323
hsa-mir-3613	DLEU2	0.32	5.39e-08	276	0	10.14644	72.71778	12.8073093883162	0.044911	0.410304	9.571715	0.615822054982818
hsa-mir-3614	TRIM25	0.178	0.00272	280	0	3.665982	41.85451	4.95712272508591	2.496986	15.961236	49.685313	17.5453993195876
hsa-mir-3615	SLC9A3R1	0.147	0.0162	268	0.526261	4.537648	85.51192	7.44730056013746	0.685013	34.085624	274.700493	40.5474706082474
hsa-mir-3616	EYA2	-0.197	0.258	35	0	0	1.14264	0.0398925807560137	0	0.596724	106.914102	2.56883498281787
hsa-mir-3618	DGCR8	-0.016	0.864	117	0	0	2.208649	0.201886690721649	1.028548	7.229727	18.222288	7.34072167697594
hsa-mir-3619	MIRLET7BHG	0.217	0.0155	124	0	0	3.119323	0.223434804123711	0.178751	1.133919	18.352546	1.64760495876289
hsa-mir-362	CLCN5	0.435	1.24e-14	286	1.280885	14.77908	154.2308	24.4160185704467	0.23224	2.715867	12.458683	3.17391837113402
hsa-mir-3620	ARF1	-0.178	0.0993	87	0	0	5.867804	0.180118388316151	46.215911	391.431769	738.86716	388.944913642612
hsa-mir-3621	AL929554.1	NA	NA	NA	0	0	0.298	0.0022140412371134	0	0	22.771156	0.50026995532646
hsa-mir-3621	LRRC26	0.0439	0.972	3	0	0	0.298	0.0022140412371134	0	0.963568	218.181182	4.08244126116838
hsa-mir-3622a	AC013643.3	-0.186	0.277	36	0	0	18.1137	0.296899577319588	0	0.007445	0.181223	0.0117818281786942
hsa-mir-363	AC002407.1	-0.0193	0.93	23	0	2.122996	73.01953	4.33568655670103	0	0	0.100323	0.00109115120274914
hsa-mir-3646	HNF4A	-0.146	0.224	71	0	0	0.749027	0.0730119931271478	0	81.042694	447.848766	94.8564624054983
hsa-mir-3648-1	FP671120.4	NA	NA	NA	0	0	0	0	0	0	8.623664	0.569238127147766
hsa-mir-3650	LIFR	NA	NA	NA	0	0	0.143789	0.000494120274914089	0	0.231602	5.437059	0.438669793814433
hsa-mir-3651	IARS1	-0.105	0.0925	256	0	1.38601	64.24533	3.45792250859107	9.205837	45.960807	100.216548	47.2666424742268
hsa-mir-3651	SNORA84	0.402	0.0183	34	0	1.38601	64.24533	3.45792250859107	0	0	360.947522	9.29958965292096
hsa-mir-3652	HSP90B1	0.0897	0.146	264	0	1.316871	44.26355	2.4097180790378	88.39342	422.220239	1992.403585	456.314599371134
hsa-mir-3653	AP1B1	0.00339	0.956	269	0.282946	4.089614	109.5111	7.69899966666667	3.66864	39.85434	124.897921	39.743517467354
